geohash,value
xnetm5,38.72727272727273
xnetm7,49.0
xnetm8,42.69117647058823
xnetmb,39.0
xnetme,35.57142857142857
xnetmg,28.0
xnetmh,42.6
xnetmk,55.416666666666664
xnetmn,48.5
xnetmp,48.25
xnetnp,41.859154929577464
xnetnr,48.166666666666664
xnetq2,42.0
xnetq3,46.791666666666664
xnetq4,34.416666666666664
xnetq6,39.111111111111114
xnetq9,47.68115942028985
xnetqc,47.29545454545455
xnetqd,40.375
xnetqf,28.666666666666668
xnetr1,44.73770491803279
xnetr3,42.73529411764706
xnetr6,28.375
xnetr9,37.25506072874494
xnetrb,38.53846153846154
xnetrd,35.9
xnetrg,41.5
xnets0,35.25
xnets1,36.53846153846154
xnets2,41.31578947368421
xnets3,36.0
xnets4,41.714285714285715
xnets6,41.333333333333336
xnets9,34.57142857142857
xnetsb,45.142857142857146
xneu3e,57.23076923076923
xneu3f,47.833333333333336
xneu3g,61.0
xneu3k,55.0
xneu3m,47.2
xneu3p,75.0
xneu3q,60.892857142857146
xneu3r,71.375
xneu3s,50.5
xneu61,40.14736842105263
xneu64,44.04
xneu65,58.125
xneu66,43.8125
xneu67,43.55555555555556
xneu6j,45.2
xneu6k,50.5
xneu6m,46.4
xneu6n,41.0
xneu6p,36.111111111111114
xneu8p,35.42857142857143
xneu8q,37.6
xneu8r,44.07692307692308
xneu8w,43.0
xneu8y,37.40909090909091
xneu90,69.75
xneu91,46.2
xneu94,44.142857142857146
xneu95,49.142857142857146
xneu9h,49.333333333333336
xneu9k,49.2
xneu9m,42.38461538461539
xneu9n,43.09375
xneu9p,46.166666666666664
xneu9q,44.470588235294116
xneu9r,43.55555555555556
xneu9w,60.04
xneu9x,59.083333333333336
xneu9z,46.944736842105264
xneuc2,37.93846153846154
xneuc8,40.65625
xneuc9,51.13793103448276
xneucb,56.6390977443609
xneucc,48.19298245614035
xneucd,49.265625
xneuce,48.0
xneucf,46.0
xneucr,52.68421052631579
xneucs,46.28125
xneuct,50.231884057971016
xneucv,45.475
xneucw,49.348837209302324
xneucx,51.1875
xneucy,54.206896551724135
xneud0,42.885163204747776
xneud2,40.0
xneud3,52.86666666666667
xneud6,40.3125
xneud7,45.96153846153846
xneude,50.0
xneudp,51.64102564102564
xneudr,55.37987012987013
xneuds,40.0
xneudt,37.13333333333333
xneudw,36.1
xneudx,46.759889604415825
xneudy,42.0
xneudz,38.866379310344826
xneuf0,53.88125
xneuf1,54.43333333333333
xneuf2,47.143538913362704
xneuf3,51.785714285714285
xneuf8,35.18702290076336
xneuf9,42.8
xneufb,38.308510638297875
xneufc,45.625
xneufd,41.83870967741935
xneufe,53.18181818181818
xneuff,35.945945945945944
xneufg,35.92307692307692
xneufh,53.92857142857143
xneufj,45.54545454545455
xneufk,54.5
xneufm,36.65714285714286
xneufs,42.5
xneuft,45.404761904761905
xneufu,49.875
xneufv,44.61538461538461
xneugj,38.092063492063495
xneugm,54.833333333333336
xneugq,71.57142857142857
xneugw,69.0
xneugx,64.14285714285714
xneugz,66.8
xneutf,32.871576874888135
xnev0p,48.588235294117645
xnev0q,45.366336633663366
xnev0r,44.78431372549019
xnev0t,43.76086956521739
xnev0v,44.63095238095238
xnev0w,44.06060606060606
xnev0z,37.5
xnev12,49.72727272727273
xnev13,50.035714285714285
xnev15,48.142857142857146
xnev16,50.644444444444446
xnev17,50.56818181818182
xnev18,51.13333333333333
xnev19,48.63636363636363
xnev1g,48.0
xnev1h,48.1578947368421
xnev1j,51.15384615384615
xnev1p,60.25
xnev1r,62.0
xnev1s,52.0
xnev1t,62.0
xnev1u,52.0
xnev1w,70.6
xnev1x,70.0
xnev20,44.95744680851064
xnev22,43.0
xnev23,41.285714285714285
xnev24,46.5
xnev25,41.57142857142857
xnev26,46.0
xnev28,46.875
xnev2b,42.65853658536585
xnev30,62.4
xnev32,59.75
xnev38,60.0
xnev45,56.57142857142857
xnev47,59.57142857142857
xnev4d,57.5
xnev4e,56.5
xnev4f,60.666666666666664
xnev50,74.0
xnev51,77.0
xnev52,60.0
xnev58,50.125
xnev5b,59.5
xnevdf,30.972126070322464
xneyhp,24.891331546023235
xneyse,31.328260869565216
xneyu2,30.534561387820798
xneyyr,37.644375760981546
xnezj2,41.953098511960825
xns4wc,29.72716742403992
xns78x,29.06720741599073
xnsk25,84.93062223477361
xnskbc,1129.5408236134253
xnsm21,104.33477200225182
xnsm23,40.067035959064874
xnsm8q,25.439334681951
xnsn5u,75.8306760488109
xnsnyz,26.271252896096954
