geohash,value
xnet3dy44,34.0
xnet3ej9b,34.0
xnet3ejm8,32.0
xnet3em13,30.0
xnet3emj7,30.0
xnet3et34,33.0
xnet3etrd,35.0
xnet3ets8,34.0
xnet3eutu,37.0
xnet3ev48,37.0
xnet3f2rp,31.0
xnet3f3dp,31.0
xnet3f3hu,30.0
xnet3f4eh,34.0
xnet3f4nt,31.0
xnet3j861,50.0
xnet3j88s,51.0
xnet3j8ht,52.0
xnet3j936,59.0
xnet3jd42,60.0
xnet3jdkx,58.0
xnet3jf8q,60.0
xnet3jfgp,53.0
xnet3jfys,53.0
xnet3jrmd,32.0
xnet3jru4,31.0
xnet3jwbz,35.0
xnet3jweu,32.0
xnet3jy7t,33.0
xnet3jy85,32.0
xnet3jypk,34.0
xnet3k9p4,35.0
xnet3k9wz,34.0
xnet3kb9z,36.0
xnet3kbw6,36.0
xnet3kf0w,35.0
xnet3kf70,33.0
xnet3kfjp,32.0
xnet3kfpd,37.0
xnet3m07h,36.0
xnet3m0pp,33.0
xnet3m24m,31.0
xnet3m41y,41.0
xnet3m4dm,39.0
xnet3m54g,42.0
xnet3m5hv,42.0
xnet3m5rm,43.0
xnet3m79y,47.0
xnet3m7xp,50.0
xnet3mecg,53.0
xnet3mkh0,48.0
xnet3mmph,54.0
xnet3mmwh,52.0
xnet3mqhq,54.0
xnet3mqtx,53.0
xnet3ms66,58.0
xnet3msc2,59.0
xnet3mtxn,47.0
xnet3mv37,46.0
xnet3mvkv,44.0
xnet3mw63,50.0
xnet3mw86,52.0
xnet3mwmh,48.0
xnet3mwnz,49.0
xnet3n54h,54.0
xnet3n5qh,53.0
xnet3n73r,44.0
xnet3n7f7,46.0
xnet3njgq,34.0
xnet3njps,43.0
xnet3njw5,37.0
xnet3nk3r,44.0
xnet3qgve,35.0
xnet3qj3p,41.0
xnet3qjet,41.0
xnet3qn57,39.0
xnet3qnsb,35.0
xnet3qpjb,33.0
xnet3qpw6,33.0
xnet3qqz7,44.0
xnet3qrme,46.0
xnet3qru5,46.0
xnet3qsxe,34.0
xnet3qtg2,39.0
xnet3qtjm,40.0
xnet3qu4u,33.0
xnet3qw36,40.0
xnet3r58p,33.0
xnet3r5e1,37.0
xnet3r5qg,35.0
xnet3r6zh,36.0
xnet3r74u,34.0
xnet3rdew,38.0
xnet3rf8h,37.0
xnet3rfss,39.0
xnet3s5x5,33.0
xnet3s6tv,36.0
xnet3s747,36.0
xnet3s9vk,33.0
xnet3sc90,31.0
xnet3scjj,29.0
xnet3sd38,36.0
xnet3sh2k,34.0
xnet3sh59,36.0
xnet3t0bd,26.0
xnet3t0r9,25.0
xnet3t0s0,24.0
xnet3t277,29.0
xnet3t2rn,28.0
xnet3t8dm,28.0
xnet3t8v1,25.0
xnet3tbb4,26.0
xnet3tbg3,27.0
xnet3tbwz,27.0
xnet3tczg,31.0
xnet3tfpp,28.0
xnet3tfsx,33.0
xnet3tftr,31.0
xnet3tfu2,33.0
xnet3tfu6,34.0
xnet3tfu7,37.910714285714285
xnet3tfue,36.0
xnet3tfug,35.84027777777778
xnet3tfuk,35.26086956521739
xnet3tfus,29.695652173913043
xnet3tfuu,37.86046511627907
xnet3tfvb,34.0
xnet3tfvk,39.0
xnet3tfw3,27.0
xnet3tfwj,27.0
xnet3tfwm,25.0
xnet3tfwr,28.0
xnet3tfxp,30.0
xnet3tfz3,33.0
xnet3tgh2,35.0
xnet3tgh7,36.0
xnet3tghe,37.0
xnet3tghf,40.0
xnet3w06y,31.0
xnet3w09y,28.0
xnet3w0eg,27.0
xnet3w0eh,27.0
xnet3w0f5,28.0
xnet3w0h9,34.0
xnet3w0wc,27.0
xnet3w11m,28.0
xnet3w188,33.0
xnet3w1ps,43.0
xnet3w1q2,26.0
xnet3w1tc,41.0
xnet3w1u7,27.0
xnet3w1ur,41.0
xnet3w263,47.0
xnet3w28p,26.0
xnet3w29n,45.0
xnet3w2bk,47.0
xnet3w47m,37.0
xnet3w4b3,26.0
xnet3w4bd,34.0
xnet3w4bk,31.0
xnet3w4bv,29.0
xnet3w4ch,29.0
xnet3w4ck,31.0
xnet3w4cs,33.0
xnet3w4cv,38.0
xnet3w4db,28.0
xnet3w4f9,37.0
xnet3w54k,28.0
xnet3w5fb,31.0
xnet3wh7u,31.0
xnet3whux,35.0
xnet3wjt7,37.0
xnet3wnq2,42.0
xnet3wnzp,43.0
xnet3wpxv,41.0
xnet3y22s,40.0
xnet3y315,41.0
xnet3y3c6,45.0
xnet3y692,44.0
xnet3y71r,47.0
xnet3y7cj,42.0
xnet3yk8g,42.0
xnet3ym0x,44.0
xnet3ymbk,42.0
xnet3yppg,41.0
xnet3ypxx,43.0
xnet3yq80,39.0
xnet40p6b,27.0
xnet40r0e,25.0
xnet40rn4,26.0
xnet40x5m,25.0
xnet40z28,24.0
xnet40zmu,24.0
xnet41p6z,24.0
xnet41pxe,22.0
xnet41rsn,25.0
xnet41xb3,26.0
xnet41xug,32.0
xnet41zbt,34.0
xnet41zg9,38.0
xnet41zwf,42.0
xnet44exw,52.0
xnet44fz5,46.0
xnet44g5n,47.0
xnet44p6d,46.0
xnet44pn6,48.0
xnet44qf0,48.0
xnet44qmf,48.0
xnet44sm6,53.0
xnet44t53,56.0
xnet44t8w,55.0
xnet454ez,46.0
xnet4568u,44.0
xnet456tb,42.0
xnet45d7h,38.0
xnet45f22,38.0
xnet45fjt,40.0
xnet4h44s,37.0
xnet4h4pf,37.0
xnet4h6hb,38.0
xnet4h9cy,41.0
xnet4h9yv,41.0
xnet4hcu5,41.0
xnet4j1c3,39.0
xnet4j1wx,40.0
xnet4j3ey,37.0
xnet4j99m,39.0
xnet4j9wh,39.0
xnet4jcdg,35.0
xnet4jcwf,34.0
xnet4n1df,34.0
xnet4n1wb,35.0
xnet4n36v,35.0
xnet4n3qb,40.0
xnet4n8zj,41.0
xnet4n954,42.0
xnet4nbep,38.0
xnet4nbx4,42.0
xnet4p07k,41.0
xnet4p0r9,40.0
xnet4p2hr,43.0
xnet4p81h,43.0
xnet4p8n1,45.0
xnet6kxwf,43.0
xnet6kye0,43.0
xnet6kyj8,43.0
xnet6kz0d,43.0
xnet6mbrf,38.0
xnet6mcn2,40.0
xnet6mctj,41.0
xnet6meg1,41.0
xnet6meq5,42.0
xnet6mf74,37.0
xnet6mfbe,40.0
xnet6mj8g,39.0
xnet6mjhr,39.0
xnet6mkbh,43.0
xnet6mkeb,44.0
xnet6mkps,41.0
xnet6n0r7,44.0
xnet6n0zn,43.0
xnet6n1wf,40.0
xnet6n4nw,41.0
xnet6n4y3,43.0
xnet6n5qj,44.0
xnet6nhn1,41.0
xnet6nhtv,35.0
xnet6njm3,37.0
xnet6njuk,35.0
xnet6nn7r,34.0
xnet6np46,35.0
xnet6np9j,38.0
xnet6s8nu,41.0
xnet6sb8m,45.0
xnet6sc4v,46.0
xnet6scte,45.0
xnet6t1bu,46.0
xnet6t4j4,45.0
xnet6t660,50.0
xnet6t6qn,48.0
xnet6tddn,42.0
xnet6tdyj,39.0
xnet6tg39,38.0
xnet6tgfv,42.0
xnet6ttpu,42.0
xnet6tttm,40.0
xnet6tud1,44.0
xnet6tw7c,44.0
xnet6twun,43.0
xnet6txsg,48.0
xnet6v8m0,43.0
xnet6v8vq,43.0
xnet6v9x1,48.0
xnet6vcfp,48.0
xnet6vfmb,50.0
xnet6y445,46.0
xnet6y4n9,43.0
xnet6y64w,37.0
xnet6y6r5,38.0
xnet6yd7t,37.0
xnet6ydrx,37.0
xnet6yfg0,33.0
xnet6ygnh,38.0
xnet6z53r,38.0
xnet6z5gx,37.0
xnet6zhtk,41.0
xnet6zjqc,42.0
xnet6zmbq,43.0
xnet6zq9g,44.0
xnet6zr5w,46.0
xnet6zry1,46.0
xnet7p82c,45.0
xnet7p8sx,48.0
xnet7pc0g,52.0
xnet7pcsb,47.0
xnet8842y,45.0
xnet884g6,42.0
xnet885q8,44.0
xnet8879w,41.0
xnet88khe,42.0
xnet88kx8,42.0
xnet88scw,43.0
xnet88t7t,44.0
xnet88ty6,39.0
xnet88y30,34.0
xnet88ysj,34.0
xnet88zm8,37.0
xnet88zyf,43.0
xnet8bbre,43.0
xnet8bbyg,42.0
xnet8bcfu,41.0
xnet8bckd,41.0
xnet8bej8,42.0
xnet8bev0,39.0
xnet8bf2y,42.0
xnet8bsqt,41.0
xnet8bud7,38.0
xnet8bum2,36.0
xnet8c57c,30.0
xnet8c58s,33.0
xnet8c5r2,32.0
xnet8c771,30.0
xnet8c7c0,41.0
xnet8c7q9,33.0
xnet8c7ux,39.0
xnet8ce67,37.0
xnet8ceu1,33.0
xnet8chnk,46.0
xnet8chwu,48.0
xnet8ckfh,47.0
xnet8ckpr,35.0
xnet8cmg9,50.0
xnet8cmkb,47.0
xnet8cq0z,50.0
xnet8cqc8,44.0
xnet8cquw,44.0
xnet8cqzz,45.0
xnet8cs4x,33.0
xnet8cx53,45.0
xnet8cxpp,39.0
xnet8czd0,43.0
xnet8czuc,38.0
xnet8gvny,36.0
xnet8gvu8,37.0
xnet8gxxs,34.0
xnet8gy6u,36.0
xnet8gz12,39.0
xnet8sxgt,39.0
xnet8sxhd,41.0
xnet8sxhk,42.5
xnet8sxhs,40.0
xnet8sxk7,37.0
xnet8sxn6,40.0
xnet8sz1k,37.0
xnet8szhn,33.0
xnet8szqb,31.0
xnet8tp3d,32.0
xnet8tpk2,29.0
xnet8tpnf,28.0
xnet8tqcv,29.0
xnet8tquf,30.0
xnet8tw8p,29.0
xnet8tweq,29.0
xnet8twwk,28.0
xnet8ty7n,31.0
xnet8ty8c,29.0
xnet8tymf,33.0
xnet8u3wc,43.0
xnet8u5tg,41.0
xnet8u6d3,44.0
xnet8u6h9,46.0
xnet8u704,39.0
xnet8u86r,37.0
xnet8u90b,40.0
xnet8uh57,37.0
xnet8uh9h,35.0
xnet8w6wx,30.0
xnet8w774,32.0
xnet8w7cv,34.0
xnet8w7d7,34.0
xnet8w7h8,31.0
xnet8w9wy,41.0
xnet8w9y5,42.0
xnet8wc8n,40.0
xnet8wc8y,38.0
xnet8wc9w,38.0
xnet8wcen,39.0
xnet8wctn,37.0
xnet8wcwq,35.0
xnet8wcxq,36.0
xnet8wd2q,33.0
xnet8wd4n,33.0
xnet8wdh3,39.0
xnet8wffg,38.0
xnet8wffp,41.0
xnet8wfu7,36.0
xnet8wfvf,37.0
xnet8wfz9,32.0
xnet8wg4k,42.75
xnet8wg4r,50.0
xnet8wg67,53.0
xnet8wg9c,53.0
xnet8wg9v,52.0
xnet8wgf1,53.0
xnet8wgf9,48.0
xnet8wgg8,48.0
xnet8wgry,34.0
xnet8wgtp,46.0
xnet8wgxm,35.0
xnet8wgy0,44.166666666666664
xnet8wgy8,36.0
xnet8wjfk,39.0
xnet8wjq3,38.0
xnet8wjsd,39.0
xnet8wk4r,37.0
xnet8wk9e,36.0
xnet8wkbp,39.0
xnet8wn0k,36.0
xnet8x18v,33.0
xnet8x19s,31.0
xnet8x1dk,26.0
xnet8x1eu,25.0
xnet8x1ez,32.0
xnet8x1gf,35.0
xnet8x1sy,32.0
xnet8x1u1,23.0
xnet8x1yf,31.0
xnet8x451,37.0
xnet8x458,27.0
xnet8x469,37.0
xnet8x46c,27.0
xnet8x46x,27.0
xnet8x49x,34.0
xnet8x4bb,35.0
xnet8x4cq,34.0
xnet8x4d1,37.0
xnet8x4dj,32.0
xnet8x50w,36.0
xnet8x60e,30.0
xnet8x699,30.0
xnet8x718,31.0
xnet8x72f,29.0
xnet8x798,34.0
xnet8x7dq,34.0
xnet8x7gq,34.0
xnet8x7uz,34.0
xnet8x7wr,35.0
xnet8xe2p,37.0
xnet8xe64,39.0
xnet8xekd,43.0
xnet8xer7,43.0
xnet8xg6s,42.0
xnet8xgqp,42.0
xnet8zgnv,38.0
xnet8zgu8,40.0
xnet8znyn,50.0
xnet8zp7k,51.0
xnet8zpbc,51.0
xnet8zq99,48.0
xnet8zqq0,51.0
xnet8ztfk,48.0
xnet8ztqp,48.0
xnet8zu6d,44.0
xnet8zubt,47.0
xnet91bpk,36.0
xnet91yyj,49.0
xnet91zv8,46.0
xnet923vs,47.0
xnet92490,40.0
xnet924m2,42.0
xnet92612,48.0
xnet929cg,46.0
xnet929yn,45.0
xnet92cfx,47.0
xnet92fp4,47.0
xnet9345s,46.0
xnet9360q,53.0
xnet936m3,53.0
xnet939ye,50.0
xnet93bsd,49.0
xnet93c63,50.0
xnet93d4n,49.0
xnet94099,36.0
xnet940ur,36.0
xnet941rq,34.0
xnet943fk,36.0
xnet946me,39.0
xnet94dbc,39.0
xnet94e5z,38.0
xnet94ewv,39.0
xnet94gfk,52.0
xnet94gwd,49.0
xnet94js0,45.0
xnet94kv9,47.0
xnet94m0u,47.0
xnet94n07,47.0
xnet94s6p,42.0
xnet94snm,46.0
xnet94u1e,39.0
xnet94ukw,37.0
xnet94uxc,35.0
xnet953zr,35.0
xnet954zm,43.0
xnet954zs,42.666666666666664
xnet95563,46.0
xnet955j9,43.0
xnet956b5,42.0
xnet956dj,38.0
xnet956kg,34.0
xnet958mc,35.0
xnet958uj,31.0
xnet959d0,30.0
xnet95g4m,33.0
xnet95g85,33.0
xnet95gns,32.0
xnet95hee,37.0
xnet95hxh,36.0
xnet95kdv,36.0
xnet95kww,37.0
xnet95s9t,33.0
xnet95ses,36.0
xnet95sz4,37.0
xnet95u1s,33.0
xnet95ufb,32.0
xnet95v3r,33.0
xnet95v46,38.0
xnet95vm4,37.0
xnet95vx2,38.0
xnet95wqf,37.0
xnet95x72,38.0
xnet96gps,50.0
xnet96u5g,53.0
xnet96v0s,51.0
xnet96wnn,54.0
xnet96xk2,53.0
xnet972ms,40.0
xnet9732c,46.0
xnet974hn,49.0
xnet9d877,54.0
xnet9d97x,53.0
xnet9ddsf,51.0
xnet9dexh,49.0
xnet9dudh,48.0
xnet9dvtu,43.0
xnet9endh,44.0
xnet9epty,41.0
xnet9g2c6,39.0
xnet9g65c,39.0
xnet9g7md,37.0
xnet9gkwk,39.0
xnet9gmvy,41.0
xnet9grk8,42.0
xnet9h56g,34.0
xnet9h5ue,31.0
xnet9hh7d,29.0
xnet9hhcy,29.0
xnet9hhdf,31.0
xnet9hj2u,32.53333333333333
xnet9hj30,30.0
xnet9jvp1,38.0
xnet9jvss,39.0
xnet9jxyp,32.0
xnet9jy5p,36.0
xnet9jycf,36.0
xnet9jz2m,36.0
xnet9m8s3,28.0
xnet9m95u,29.0
xnet9m9sj,27.0
xnet9m9un,32.0
xnet9m9up,31.666666666666668
xnet9mdh0,33.0
xnet9mdk3,36.0
xnet9mdu8,37.0
xnet9mem4,37.0
xnet9mevt,38.0
xnet9msqz,33.0
xnet9mucw,31.0
xnet9mvkm,30.0
xnet9mvyu,30.0
xnet9myzr,48.0
xnet9mznv,54.0
xnet9mzrb,52.0
xnet9n6rr,43.0
xnet9n78c,36.0
xnet9n7h0,42.0
xnet9n9fq,45.0
xnet9n9t8,46.0
xnet9nbek,47.0
xnet9nbnp,50.0
xnet9nc0d,46.0
xnet9nhd3,37.0
xnet9nhjf,36.0
xnet9qn39,29.0
xnet9qnbb,48.0
xnet9qnd3,49.0
xnet9qnd4,47.0
xnet9qne7,55.0
xnet9qnez,27.0
xnet9qnuu,53.0
xnet9qp15,26.666666666666668
xnet9qp1h,47.0
xnet9qp1j,51.0
xnet9qp1k,36.666666666666664
xnet9qp32,53.0
xnet9qpnq,27.0
xnet9qpqc,50.0
xnet9qr8m,29.0
xnet9qr8z,47.0
xnet9tvcn,45.0
xnet9tvdv,36.0
xnet9tveh,38.0
xnet9tvf0,34.0
xnet9tvm5,33.0
xnet9tvp8,33.0
xnet9tvpc,44.0
xnet9tvs2,43.0
xnet9twq7,34.0
xnet9twqk,45.0
xnet9twsx,31.0
xnet9twuk,45.0
xnet9tx5h,30.0
xnet9tx6e,45.0
xnet9tx7g,42.0
xnet9tx7u,40.86
xnet9tx7w,38.0
xnet9tx97,35.0
xnet9tx9f,43.0
xnet9tx9n,26.0
xnet9tx9q,41.0
xnet9tx9r,41.0
xnet9txbr,37.0
xnet9txd1,29.0
xnet9txdc,33.0
xnet9txkh,36.0
xnet9ty02,35.0
xnet9uury,49.0
xnet9uux9,46.0
xnet9uuyb,41.0
xnet9uvn7,52.0
xnet9uvnq,44.0
xnet9uvqj,42.0
xnet9uvvf,54.0
xnet9uvyj,44.0
xnet9uyn1,38.0
xnet9uyw9,57.0
xnet9uywu,45.0
xnet9uywz,42.0
xnet9v2pd,36.0
xnet9v2r1,28.0
xnet9v2r5,39.0
xnet9v2tf,38.0
xnet9v2tu,32.0
xnet9v2v4,41.0
xnet9v377,40.0
xnet9v3cj,43.0
xnet9v3d3,40.0
xnet9v3d6,36.0
xnet9v3h1,40.0
xnet9v3h4,33.0
xnet9v4qz,44.0
xnet9v4w7,38.0
xnet9v4wn,38.0
xnet9v57f,39.0
xnet9v5cf,43.0
xnet9v5ct,44.0
xnet9v5dm,34.0
xnet9v5hd,48.0
xnet9v5hk,38.0
xnet9v606,37.0
xnet9v60k,38.0
xnet9v800,30.0
xnet9vh0w,41.0
xnet9vp20,61.0
xnet9vp26,47.0
xnet9vp27,43.0
xnet9vpfm,62.0
xnet9vpfr,42.0
xnet9vpfx,47.0
xnet9w21c,25.0
xnet9w24q,43.0
xnet9w26y,27.0
xnet9w2ew,42.0
xnet9w2gu,27.0
xnet9w3k8,46.0
xnet9w3kw,27.0
xnet9w3v4,46.0
xnet9w5ze,33.0
xnet9w6gc,33.0
xnet9w6gw,46.0
xnet9w6hf,28.0
xnet9w6kg,48.0
xnet9w765,35.0
xnet9w798,47.0
xnet9whdj,34.0
xnet9whe3,40.0
xnet9whkc,33.0
xnet9whnd,45.0
xnetb0vzt,63.0
xnetb0xxr,50.0
xnetb0yd8,50.0
xnetb0ydt,64.0
xnetb0yju,50.0
xnetb0yme,65.0
xnetb0z03,46.0
xnetb0z0u,60.0
xnetb0z8h,57.0
xnetb10yb,55.0
xnetb11fr,59.0
xnetb11kk,54.0
xnetb11ns,47.0
xnetb11ss,47.0
xnetb121k,54.0
xnetb128b,46.0
xnetb144y,54.0
xnetb149k,56.0
xnetb14f4,56.0
xnetb153g,55.0
xnetb15d9,59.0
xnetb1h4b,54.0
xnetb1h5r,64.0
xnetb1he7,51.0
xnetb1hg7,62.0
xnetb1j1g,50.0
xnetb1j3s,60.0
xnetb1j8h,49.0
xnetb28p7,58.0
xnetb28qw,46.0
xnetb28wg,49.0
xnetb29pe,45.0
xnetb29pk,42.0
xnetb29xe,44.0
xnetb29y6,42.0
xnetb2dkz,41.0
xnetb2dne,42.0
xnetb2dt7,44.0
xnetb2eht,39.0
xnetb2ehu,52.0
xnetb2ett,48.0
xnetb2evd,36.0
xnetb2snt,44.0
xnetb2sqx,32.0
xnetb2swv,48.0
xnetb2tn5,31.0
xnetb2tnm,49.0
xnetb2ttq,26.0
xnetb2tv8,46.0
xnetb2wgu,27.0
xnetb2wkd,26.0
xnetb2wm0,44.0
xnetb2wu2,49.0
xnetb2xk0,47.0
xnetb2xkj,25.0
xnetb2xsx,52.0
xnetb2xuy,28.0
xnetb853t,44.0
xnetb85jj,40.0
xnetb86bk,40.0
xnetb86gb,39.0
xnetb86z8,39.0
xnetb88m2,49.0
xnetb88mq,30.0
xnetb88y1,48.0
xnetb88yp,36.0
xnetb89q8,44.0
xnetb89qq,37.0
xnetb89wy,44.0
xnetb89yg,39.0
xnetb8df2,36.0
xnetb8dp7,47.0
xnetb8dqb,39.0
xnetb8dsv,37.0
xnetb8dw5,42.857142857142854
xnetb8dwc,40.0
xnetb8dxh,41.0
xnetb8enq,37.0
xnetb8esj,39.0
xnetb8mq3,42.0
xnetb8mu4,38.0
xnetb8q65,40.0
xnetb8qcp,41.0
xnetb8r8e,38.0
xnetb8s1v,44.0
xnetb8s8p,41.0
xnetbb0rb,40.0
xnetbb0z5,37.0
xnetbb1mn,38.0
xnetbb450,39.0
xnetbb494,41.0
xnetd37j5,43.0
xnetd38vx,46.0
xnetd39bz,45.0
xnetd3b5u,46.0
xnetd3k6b,41.0
xnetd3m6j,39.0
xnetd3qd9,40.0
xnetd3rs5,43.0
xnetd4gux,45.0
xnetd4mzb,43.0
xnetd4p66,45.0
xnetd4q91,43.0
xnetd4sym,43.0
xnetd51y9,47.0
xnetd52d4,45.0
xnetd54fn,46.0
xnetd92wv,46.0
xnetd99dv,46.0
xnetd9dwv,48.0
xnetd9gdp,43.0
xnetd9uuh,43.0
xnetd9yhd,39.0
xnetd9z7b,38.0
xnetdcb6h,40.0
xnetdcc89,38.0
xnetdcf8n,39.0
xnetdcgbt,39.0
xnetdcv4j,36.0
xnetdcyks,34.0
xnetdfp83,32.0
xnetdj0s3,62.0
xnetdj0s7,42.0
xnetdj0ss,47.0
xnetdj1je,42.0
xnetdj1ju,61.0
xnetdj1q3,41.0
xnetdj1wu,39.0
xnetdj1z9,58.0
xnetdj1zy,42.0
xnetdj622,42.0
xnetdj63j,55.0
xnetdj697,38.0
xnetdj6cu,45.0
xnetdj74e,53.0
xnetdj74z,40.0
xnetdj7e2,39.0
xnetdj7u0,52.0
xnetdj7u7,37.0
xnetdjkhc,37.0
xnetdjkmw,48.0
xnetdjkmz,38.0
xnetdjkwj,39.0
xnetdjmnu,40.0
xnetdjmny,47.0
xnetdjmqg,42.0
xnetdjmz3,43.0
xnetdjmzr,39.0
xnetdjqp2,45.0
xnetdjqrq,41.0
xnetdjqxk,36.0
xnetdjqz3,37.0
xnetdjrp7,37.0
xnetdjrr6,38.0
xnetdjrx7,33.0
xnetdjrz3,36.0
xnetdm2p9,38.0
xnetdm2rx,35.0
xnetdm2x9,36.0
xnetdm2z3,39.0
xnetdm3r1,39.0
xnetdm3r5,34.0
xnetdm3wb,44.0
xnetdm3yr,41.0
xnetdm6jv,39.0
xnetdm6jy,43.0
xnetdm6tj,41.0
xnetdm6us,46.0
xnetdm6uw,43.0
xnetdm7ef,49.0
xnetdm7g2,46.0
xnetdm7k5,41.0
xnetdmjzp,51.0
xnetdmjzt,52.0
xnetdmk4z,53.0
xnetdmk51,42.0
xnetdmk9y,45.0
xnetdmkce,52.0
xnetdmkd1,48.0
xnetdmm2b,53.0
xnetdmm2e,46.0
xnetdmm2q,50.0
xnetdmnp2,42.0
xnetdmnw4,51.0
xnetdmnwh,45.5
xnetdmphz,52.0
xnetdmpkb,40.0
xnetdmpks,56.0
xnetdmpu5,40.0
xnetdmpuj,49.0
xnetdsgrs,38.0
xnetdsgx4,59.0
xnetdsgyd,25.0
xnetdsujf,35.0
xnetdsumd,61.0
xnetdsumz,29.0
xnetdsuvd,35.0
xnetdsvgd,59.0
xnetdsvj6,60.0
xnetdsvjs,30.0
xnetdsvs2,36.0
xnetdsvu1,30.0
xnetdsy4g,34.0
xnetdsy6h,29.0
xnetdsy99,59.0
xnetdsy9h,32.0
xnetdsz0z,28.0
xnetdsz11,32.0
xnetdsz2c,60.0
xnetdsz9x,29.0
xnetdsz9y,32.0
xnetdszcy,62.0
xnetdt05g,60.0
xnetdt07z,40.0
xnetdt0es,49.0
xnetdt0g6,63.0
xnetdt156,38.0
xnetdt175,47.0
xnetdt1db,58.0
xnetdt1e5,32.0
xnetdt446,46.0
xnetdt449,36.0
xnetdt44r,60.0
xnetdt468,33.0
xnetdt4c8,41.0
xnetdt4cj,62.0
xnetdt4dn,34.0
xnetdt50r,29.0
xnetdub4q,28.0
xnetdub6u,34.0
xnetdubd8,61.0
xnetdubdz,29.0
xnetduc4g,59.0
xnetduc6f,32.0
xnetduc70,34.0
xnetducdz,60.0
xnetducfz,32.0
xnetduf4b,35.0
xnetduf6y,59.0
xnetdufdu,32.0
xnetduffb,32.0
xnetdug4s,55.0
xnetdug6d,32.0
xnetdugdb,32.0
xnetdugf9,55.0
xnetduu48,32.0
xnetduu4z,36.0
xnetduu6s,55.0
xnetduudq,30.0
xnetduuft,35.0
xnetduv48,53.0
xnetduv6m,30.0
xnetduvdq,53.0
xnetduvds,36.0
xnetduy4k,29.0
xnetduy67,36.0
xnetduy6k,50.0
xnetduycg,31.0
xnetduz1f,47.0
xnetduz3m,29.0
xnetduz41,39.0
xnetduz9w,44.0
xnetduz9x,36.0
xnete01bg,45.0
xnete04hz,48.0
xnete0689,46.0
xnete06ue,47.0
xnete0e0q,46.0
xnete0es6,46.0
xnete0gbq,46.0
xnete0uke,44.0
xnete1hbc,42.0
xnete1jjx,41.0
xnete1mcf,43.0
xnete1qee,46.0
xnete1r7t,49.0
xnete325w,45.0
xnete32gq,47.0
xnete33em,44.0
xnete33g7,37.0
xnete33g9,35.0
xnete33ge,37.0
xnete33gm,36.0
xnete33u4,38.0
xnete33uf,38.0
xnete33ve,36.0
xnete33zu,37.0
xnete365q,36.5
xnete3674,46.0
xnete3677,37.0
xnete36ej,37.0
xnete36er,37.0
xnete36gk,37.0
xnete36gm,47.0
xnete375j,39.0
xnete375p,38.0
xnete3775,48.0
xnete37dg,37.0
xnete37e0,34.0
xnete37e1,40.0
xnete37en,53.0
xnete37gj,44.0
xnete39cn,38.0
xnete39cz,34.0
xnete39gr,38.0
xnete3dj9,35.0
xnete3dnf,38.0
xnete3dng,36.0
xnete3f1m,34.0
xnete3f4t,38.0
xnete3fhp,34.0
xnete3fm2,38.0
xnete3fq2,41.0
xnete3k49,36.0
xnete3k4g,45.0
xnete3k6w,39.0
xnete3kd7,34.0
xnete3kdw,58.0
xnete3kdx,34.0
xnete3m1t,39.0
xnete3m46,39.0
xnete3m61,38.0
xnete3m65,50.0
xnete3m9q,43.0
xnete3m9v,37.0
xnete3mce,39.0
xnete3q0z,46.0
xnete3q12,49.0
xnete3q32,37.0
xnete3q3m,38.0
xnete3q8f,46.0
xnete3qbc,44.0
xnete3qc3,35.0
xnete3qcp,46.0
xnete3qcq,35.0
xnete3r1r,33.0
xnete3r30,43.0
xnete3r31,46.0
xnete3r3e,43.0
xnete3r67,38.0
xnete3r6d,40.0
xnete3r76,39.0
xnete3r7e,39.0
xnete3r98,31.0
xnete3r9q,42.0
xnete3rc8,35.0
xnete3rgf,38.0
xnete3rku,38.0
xnete3rmv,38.0
xnete3rrn,39.0
xnete3rs4,38.0
xnete3rx2,37.18042813455658
xnete3rx8,36.67567567567568
xnete3rxj,35.0
xnete3ry3,30.0
xnete40t4,28.0
xnete43d9,30.0
xnete4d2m,28.0
xnete4em9,31.0
xnete4u4r,31.0
xnete4vq8,32.0
xnete5n3f,34.0
xnete5pkr,34.0
xnete642e,39.0
xnete6437,40.0
xnete6467,44.0
xnete64kz,36.0
xnete64mr,39.0
xnete64qp,41.0
xnete6683,36.0
xnete6696,38.0
xnete66d4,41.0
xnete66tj,36.0
xnete66wj,39.0
xnete6dbb,35.0
xnete6df0,36.0
xnete6df4,32.0
xnete6due,33.0
xnete6dy5,41.0
xnete6dzq,35.0
xnete6fbq,29.0
xnete6fcy,39.0
xnete6gh1,29.0
xnete6gh6,34.0
xnete6gjd,35.0
xnete6gps,29.0
xnete70ws,35.0
xnete73b8,36.0
xnete751j,32.0
xnete751n,32.0
xnete755r,31.0
xnete75k8,30.0
xnete75m6,32.0
xnete75qf,32.0
xnete76ft,35.0
xnete7725,31.0
xnete773s,31.0
xnete776s,28.0
xnete777q,29.0
xnete77mz,31.0
xnete77tb,28.0
xnete77wb,25.0
xnete7e96,35.0
xnete7e9u,30.0
xnete7ed7,26.0
xnete7est,40.0
xnete7etw,28.0
xnete7etx,23.0
xnete7ez8,40.0
xnete7gbc,27.0
xnete7gc6,22.0
xnete7gfd,39.0
xnete7gg7,27.0
xnete7ggg,24.0
xnete7gud,32.0
xnete7gug,29.0
xnete7gy1,45.0
xnete7gz0,25.0
xnete7gz4,33.0
xnete7kh7,36.0
xnete7mmg,37.0
