geohash,value
xnemzgc03,39.0
xnemzgc1c,41.0
xnemzgcj0,38.0
xnemzrpfp,35.0
xnemzrpp9,37.0
xnemzrpt0,35.0
xnemzrq8z,33.0
xnemzrqf2,30.0
xnemzrquz,32.0
xnemzrrpz,32.0
xnemzrx7x,34.0
xnemzrxxq,31.0
xnemzrzgs,29.0
xnemzrzzy,28.0
xnemzu0ct,36.0
xnemzu0fn,34.0
xnemzu0vk,42.0
xnemzu0yu,32.0
xnemzu2c6,45.0
xnemzu2gd,31.0
xnemzu2v3,45.0
xnemzu8b2,31.0
xnemzu8c2,44.0
xnemzu8sz,31.0
xnemzu8tw,41.0
xnemzub9m,35.0
xnemzub9u,40.0
xnemzubtg,31.0
xnemzubw5,40.0
xnemzv0d3,37.0
xnemzv0d6,32.0
xnemzv0qp,34.57142857142857
xnemzv0qx,39.0
xnemzv0t8,33.0
xnemzv0x1,27.0
xnemzv22q,42.0
xnemzv26q,48.0
xnemzv2ky,28.0
xnemzv2mj,51.0
xnemzv2ru,50.0
xnemzv82u,26.0
xnemzv875,49.0
xnemzv8md,29.0
xnemzv8q9,49.0
xnemzvb62,49.0
xnemzvb69,32.0
xnemzvbjz,46.0
xnemzvbpr,36.0
xnemzwcpx,41.0
xnemzwcz5,39.0
xnemzwfxh,37.0
xnemzwgr0,36.0
xnemzwgzk,41.0
xnemzwux2,45.0
xnemzwvps,44.0
xnemzwvzb,45.0
xnemzwyrg,42.0
xnemzwyyu,41.0
xnemzwzep,45.0
xnemzwzkc,45.0
xnemzx087,39.0
xnemzy01t,41.0
xnemzy0hn,34.0
xnemzy0jw,36.0
xnemzy22f,36.0
xnemzy239,34.0
xnemzy2mr,33.0
xnemzy2t0,36.0
xnemzy88v,31.0
xnemzy89p,33.0
xnemzy8u5,26.0
xnemzy8uw,32.0
xnemzy8yz,36.44444444444444
xnemzy8zg,49.0
xnemzy9pd,29.0
xnemzyb1y,45.0
xnemzyb8g,48.0
xnemzyc0d,36.0
xnemzyc0e,32.666666666666664
xnemzychh,34.0
xnemzz10e,32.0
xnemzz1j3,34.0
xnemzz2cz,32.0
xnemzz2yt,35.0
xnemzz95h,35.0
xnemzz9x4,35.0
xnemzzf4b,41.0
xnemzzfqw,43.0
xneq0gxyu,294.0
xneq0r8kj,308.0
xneq0v002,297.0
xneq0w24q,299.0
xneq13pu0,307.0
xneq14rv3,302.0
xneqp2pup,28.0
xneqp8207,30.0
xneqp82ke,29.0
xneqp888q,27.0
xneqp89h1,31.0
xneqp8c25,32.0
xneqp8cs5,29.0
xneqp8czy,30.0
xneqp9474,29.0
xneqp94ws,32.0
xneqp96fn,36.0
xneqp97mb,38.0
xneqp9e99,36.0
xneqp9ev7,35.0
xneqp9u0u,34.0
xneqp9ukh,38.0
xneqp9uwv,37.0
xneqpb4f5,44.0
xneqpb5m8,41.0
xneqpb78u,38.0
xneqpbkh0,37.0
xneqpbkr5,34.0
xneqpbs97,31.0
xneqpdj0e,37.0
xneqpdj9y,38.0
xneqpdn6f,42.0
xneqpdnun,44.0
xneqpdpt7,45.0
xneqpf0pf,41.0
xneqpf27d,39.0
xneqpf2x5,45.0
xneqpf8fg,46.0
xneqpf9nh,51.0
